Dam,Date,ChinookAdult,ChinookJack,CohoAdult,CohoJack,Steelhead,UnclippedSteelhead,Sockeye,Pink,Chum,Lamprey,Shad
BON,01/01/2005,0,0,0,0,11,0,0,0,0,0,0
BON,01/02/2005,0,0,0,0,13,1,0,0,0,0,0
BON,01/04/2005,0,0,0,0,1,0,0,0,0,0,0
BON,01/05/2005,0,0,0,0,6,0,0,0,0,0,0
BON,01/06/2005,0,0,0,0,6,-1,0,0,0,0,0
BON,01/07/2005,0,0,0,0,6,0,0,0,0,0,0
BON,01/08/2005,0,0,0,0,5,0,0,0,0,0,0
BON,01/09/2005,0,0,0,0,1,0,0,0,0,0,0
BON,01/10/2005,0,0,0,0,2,0,0,0,0,0,0
BON,01/11/2005,0,0,0,0,7,0,0,0,0,0,0
BON,01/12/2005,0,0,0,0,1,0,0,0,0,0,0
BON,01/13/2005,0,0,0,0,13,0,0,0,0,0,0
BON,01/14/2005,0,0,0,0,3,0,0,0,0,0,0
BON,01/15/2005,0,0,0,0,6,0,0,0,0,0,0
BON,01/16/2005,0,0,0,0,8,0,0,0,0,0,0
BON,01/17/2005,0,0,0,0,10,1,0,0,0,0,0
BON,01/18/2005,0,0,0,0,13,1,0,0,0,0,0
BON,01/19/2005,0,0,0,0,4,0,0,0,0,0,0
BON,01/20/2005,0,0,0,0,8,0,0,0,0,0,0
BON,01/21/2005,0,0,0,0,10,0,0,0,0,0,0
BON,01/22/2005,0,0,0,0,5,1,0,0,0,0,0
BON,01/24/2005,-1,0,0,0,2,0,0,0,0,0,0
BON,01/25/2005,0,0,0,0,9,0,0,0,0,0,0
BON,01/26/2005,0,0,0,0,-2,-1,0,0,0,0,0
BON,01/27/2005,0,0,0,0,3,0,0,0,0,0,0
BON,01/28/2005,0,0,0,0,2,0,0,0,0,0,0
BON,01/29/2005,0,0,0,0,1,0,0,0,0,0,0
BON,01/30/2005,0,0,0,0,2,1,0,0,0,0,0
BON,01/31/2005,0,0,0,0,-7,-5,0,0,0,0,0
BON,02/01/2005,0,0,0,0,-4,-5,0,0,0,0,0
BON,02/02/2005,0,0,0,0,1,0,0,0,0,0,0
BON,02/03/2005,0,0,0,0,1,-3,0,0,0,0,0
BON,02/04/2005,0,0,0,0,26,1,0,0,0,0,0
BON,02/05/2005,0,0,0,0,6,0,0,0,0,0,0
BON,02/06/2005,0,0,0,0,8,0,0,0,0,0,0
BON,02/07/2005,0,0,0,0,7,0,0,0,0,0,0
BON,02/08/2005,0,0,0,0,14,0,0,0,0,0,0
